artist,betweenness,num_festivals,festival_names
Fcukers,0.0345,6,"Coachella, EDC, Electric Forest, Hard Summer, Lollapalooza, Outside Lands"
Tape B,0.0335,6,"Bonnaroo, EDC, Electric Forest, Hard Summer, Lightning in a Bottle, Lollapalooza"
Interplanetary Criminal,0.0236,4,"Coachella, EDC, Electric Forest, Lightning in a Bottle"
Levity,0.0187,4,"Bonnaroo, EDC, Lollapalooza, Outside Lands"
Francis Mercier,0.0184,3,"Coachella, EDC, Lightning in a Bottle"
Chase & Status,0.0166,3,"Coachella, EDC, Lollapalooza"
Mau P,0.0164,3,"Coachella, EDC, Lollapalooza"
Dom Dolla,0.0159,4,"Bonnaroo, EDC, Hard Summer, Lollapalooza"
Sara Landry,0.0147,4,"Coachella, EDC, Electric Forest, Hard Summer"
Sammy Virji,0.0131,5,"Bonnaroo, Coachella, Lightning in a Bottle, Lollapalooza, Outside Lands"
Amaarae,0.013,4,"Coachella, Governors Ball, Lightning in a Bottle, Lollapalooza"
Cloonee,0.012,3,"EDC, Electric Forest, Lollapalooza"
Joey Valence & Brae,0.0115,4,"Bonnaroo, Electric Forest, Governors Ball, Lollapalooza"
Ahmed Spins,0.011,3,"Coachella, EDC, Electric Forest"
Beltran,0.011,3,"Coachella, EDC, Electric Forest"
Vintage Culture,0.011,3,"Coachella, EDC, Electric Forest"
Kilimanjaro,0.0105,3,"EDC, Hard Summer, Lightning in a Bottle"
Daniel Allan,0.0102,3,"EDC, Hard Summer, Lollapalooza"
DJ Gigola,0.0102,3,"Coachella, EDC, Hard Summer"
YDG,0.0102,4,"Bonnaroo, EDC, Electric Forest, Hard Summer"
Crankdat,0.0102,4,"Bonnaroo, EDC, Electric Forest, Hard Summer"
Torren Foot,0.0102,3,"EDC, Hard Summer, Lollapalooza"
Prospa,0.0102,3,"EDC, Hard Summer, Lollapalooza"
Marlon Hoffstadt,0.0102,3,"EDC, Hard Summer, Lollapalooza"
MARINA,0.0099,5,"Bonnaroo, Coachella, Governors Ball, Lollapalooza, Outside Lands"
Dombresky,0.0088,3,"EDC, Electric Forest, Outside Lands"
BLOND:ISH,0.0088,3,"EDC, Electric Forest, Outside Lands"
Martin Garrix,0.0085,2,"EDC, Lollapalooza"
ALLEYCVT,0.0084,2,"EDC, Lollapalooza"
Hex Cougar,0.0084,2,"EDC, Lollapalooza"
Of The Trees,0.008,3,"Bonnaroo, EDC, Electric Forest"
AHEE,0.008,3,"Bonnaroo, EDC, Electric Forest"
Walker & Royce,0.0078,3,"EDC, Hard Summer, Outside Lands"
Gesaffelstein,0.0078,3,"EDC, Hard Summer, Outside Lands"
Eli Brown,0.0069,2,"Coachella, EDC"
Dennis Cruz,0.0068,2,"Coachella, EDC"
Amelie Lens,0.0068,2,"Coachella, EDC"
Disco Lines,0.0068,2,"Coachella, EDC"
Alok,0.0068,2,"Coachella, EDC"
Layton Giordani,0.0068,2,"Coachella, EDC"
Artemas,0.0066,4,"Coachella, Governors Ball, Lollapalooza, Outside Lands"
2hollis,0.0065,4,"Bonnaroo, Coachella, Lollapalooza, Outside Lands"
Barry Can’t Swim,0.0065,4,"Bonnaroo, Electric Forest, Hard Summer, Lollapalooza"
Salute,0.0063,3,"Coachella, Lightning in a Bottle, Lollapalooza"
ARMNHMR,0.0062,2,"EDC, Outside Lands"
Gorgon City,0.0056,2,"Bonnaroo, EDC"
INZO,0.0055,2,"Bonnaroo, EDC"
RL Grime,0.0055,2,"Bonnaroo, EDC"
Max Styler,0.0055,2,"Bonnaroo, EDC"
ATLiens,0.0055,2,"Bonnaroo, EDC"
Clairo,0.0046,3,"Coachella, Governors Ball, Lollapalooza"
T-Pain,0.0046,3,"Coachella, Governors Ball, Lollapalooza"
Tyla,0.0046,3,"Bonnaroo, Coachella, Governors Ball"
Jade Cicada,0.0043,3,"Bonnaroo, Electric Forest, Lightning in a Bottle"
The Blessed Madonna,0.0038,3,"Hard Summer, Lightning in a Bottle, Lollapalooza"
BigXthaPlug,0.0037,3,"Coachella, Governors Ball, Outside Lands"
Role Model,0.0036,4,"Bonnaroo, Governors Ball, Lollapalooza, Outside Lands"
Midnight Generation,0.0036,3,"Electric Forest, Lollapalooza, Outside Lands"
Matt Champion,0.0036,4,"Bonnaroo, Governors Ball, Lollapalooza, Outside Lands"
Ca7riel & Paco Amoroso,0.0036,3,"Coachella, Lollapalooza, Outside Lands"
Royel Otis,0.0036,4,"Bonnaroo, Governors Ball, Lollapalooza, Outside Lands"
Nimino,0.0036,3,"Electric Forest, Lollapalooza, Outside Lands"
BUNT,0.0036,3,"Electric Forest, Lollapalooza, Outside Lands"
Wallows,0.0036,4,"Bonnaroo, Governors Ball, Lollapalooza, Outside Lands"
Still Woozy,0.0036,3,"Coachella, Lollapalooza, Outside Lands"
Julie,0.0036,3,"Coachella, Lollapalooza, Outside Lands"
John Summit,0.0035,3,"Bonnaroo, Lightning in a Bottle, Outside Lands"
Riordan,0.0029,3,"EDC, Electric Forest, Hard Summer"
ØTTA,0.0029,3,"EDC, Electric Forest, Hard Summer"
Villager,0.0029,3,"EDC, Electric Forest, Hard Summer"
Coco & Breezy,0.0024,2,"Coachella, Lightning in a Bottle"
Wave to Earth,0.0024,3,"Bonnaroo, Governors Ball, Lollapalooza"
Tinlicker,0.0024,2,"Coachella, Lightning in a Bottle"
Olivia Rodrigo,0.0024,3,"Bonnaroo, Governors Ball, Lollapalooza"
JPEGMAFIA,0.0024,3,"Bonnaroo, Governors Ball, Lollapalooza"
Magdalena Bay,0.0021,2,"Lightning in a Bottle, Lollapalooza"
Mary Droppinz,0.0021,2,"Lightning in a Bottle, Lollapalooza"
Azzecca,0.0021,2,"Lightning in a Bottle, Lollapalooza"
Ravyn Lenae,0.002,2,"Coachella, Lollapalooza"
The Dare,0.002,2,"Coachella, Lollapalooza"
Wisp,0.002,2,"Bonnaroo, Coachella"
Djo,0.002,2,"Coachella, Lollapalooza"
Ginger Root,0.002,2,"Bonnaroo, Coachella"
Glorilla,0.002,2,"Bonnaroo, Coachella"
Glass Beams,0.002,2,"Coachella, Lollapalooza"
Maribou State,0.002,2,"Coachella, Lollapalooza"
Beabadoobee,0.002,2,"Bonnaroo, Coachella"
Jessie Murph,0.002,2,"Bonnaroo, Coachella"
Nourished By Time,0.0019,3,"Governors Ball, Lollapalooza, Outside Lands"
Benson Boone,0.0019,2,"Coachella, Governors Ball"
Wasia Project,0.0019,3,"Governors Ball, Lollapalooza, Outside Lands"
The Beaches,0.0019,2,"Coachella, Governors Ball"
Black Party,0.0019,3,"Governors Ball, Lollapalooza, Outside Lands"
Hozier,0.0018,3,"Bonnaroo, Governors Ball, Outside Lands"
Glass Animals,0.0018,3,"Bonnaroo, Governors Ball, Outside Lands"
Mannequin Pussy,0.0018,3,"Bonnaroo, Governors Ball, Outside Lands"
INFEKT,0.0017,2,"EDC, Electric Forest"
Fisher,0.0017,2,"EDC, Electric Forest"
Jenna Shaw,0.0017,2,"EDC, Electric Forest"
Dimension,0.0017,2,"EDC, Electric Forest"
Wakyin,0.0017,2,"EDC, Electric Forest"
Jon Casey,0.0017,2,"EDC, Electric Forest"
Mochakk,0.0017,2,"EDC, Electric Forest"
BROSA,0.0017,2,"EDC, Electric Forest"
Maz,0.0017,2,"EDC, Electric Forest"
Tiësto,0.0017,2,"EDC, Electric Forest"
Mike Posner,0.0017,2,"EDC, Electric Forest"
Liquid Stranger,0.0017,2,"EDC, Electric Forest"
Ray Volpe,0.0017,2,"EDC, Electric Forest"
Pocket,0.0017,2,"EDC, Electric Forest"
Flipturn,0.0016,3,"Bonnaroo, Lollapalooza, Outside Lands"
Hamdi,0.0014,2,"Electric Forest, Lightning in a Bottle"
Hope Tala,0.0014,2,"Coachella, Outside Lands"
Khruangbin,0.0014,2,"Electric Forest, Lightning in a Bottle"
Overmono,0.0013,2,"Hard Summer, Lollapalooza"
Airwolf Paradise,0.0013,2,"Hard Summer, Lollapalooza"
Viperactive,0.0013,2,"Hard Summer, Lollapalooza"
Orion Sun,0.0011,2,"Governors Ball, Lollapalooza"
Jamie xx,0.0011,2,"Lightning in a Bottle, Outside Lands"
Claude VonStroke,0.0011,2,"Lightning in a Bottle, Outside Lands"
Floating Points,0.0011,2,"Hard Summer, Outside Lands"
Girl Math,0.0011,2,"Lightning in a Bottle, Outside Lands"
Young Miko,0.001,2,"Governors Ball, Lollapalooza"
Justice,0.001,2,"Bonnaroo, Electric Forest"
Zingara,0.001,2,"Bonnaroo, Electric Forest"
Isabel LaRosa,0.001,2,"Governors Ball, Lollapalooza"
Dogpark,0.001,2,"Governors Ball, Lollapalooza"
Montell Fish,0.001,2,"Governors Ball, Lollapalooza"
Eater,0.001,2,"Bonnaroo, Electric Forest"
Alignment,0.0009,2,"EDC, Hard Summer"
James Hype,0.0009,2,"EDC, Hard Summer"
I Hate Models,0.0009,2,"EDC, Hard Summer"
Nico Moreno,0.0009,2,"EDC, Hard Summer"
it's murph,0.0009,2,"EDC, Hard Summer"
Alex Chapman,0.0009,2,"EDC, Hard Summer"
Annicka,0.0009,2,"EDC, Hard Summer"
VNSSA,0.0009,2,"EDC, Hard Summer"
Linska,0.0009,2,"EDC, Hard Summer"
Adam Ten,0.0009,2,"EDC, Hard Summer"
Deorro,0.0009,2,"EDC, Hard Summer"
Narciss,0.0009,2,"EDC, Hard Summer"
MALUGI,0.0009,2,"EDC, Hard Summer"
Zoe Gitter,0.0009,2,"EDC, Hard Summer"
Loco Dice,0.0009,2,"EDC, Hard Summer"
Ben Sterling,0.0009,2,"EDC, Hard Summer"
Funk Tribu,0.0009,2,"EDC, Hard Summer"
Mita Gami,0.0009,2,"EDC, Hard Summer"
Mt. Joy,0.0008,2,"Bonnaroo, Governors Ball"
Bilmuri,0.0008,2,"Bonnaroo, Lollapalooza"
Die Spitz,0.0008,2,"Bonnaroo, Governors Ball"
The Creator,0.0008,2,"Bonnaroo, Governors Ball"
The Lemon Twigs,0.0008,2,"Bonnaroo, Governors Ball"
Tyler,0.0008,2,"Bonnaroo, Governors Ball"
Remi Wolf,0.0008,2,"Bonnaroo, Lollapalooza"
Gigi Perez,0.0008,2,"Bonnaroo, Lollapalooza"
Bossman Dlow,0.0008,2,"Bonnaroo, Lollapalooza"
Luke Combs,0.0008,2,"Bonnaroo, Lollapalooza"
Alex Warren,0.0008,2,"Bonnaroo, Lollapalooza"
Peekaboo,0.0006,2,"Hard Summer, Lightning in a Bottle"
Hybrid Minds,0.0006,2,"Hard Summer, Lightning in a Bottle"
Four Tet,0.0006,2,"Hard Summer, Lightning in a Bottle"
Lexa Gates,0.0006,2,"Governors Ball, Outside Lands"
Joy Orbison,0.0006,2,"Hard Summer, Lightning in a Bottle"
Bou,0.0006,2,"Hard Summer, Lightning in a Bottle"
Mersiv,0.0005,2,"Electric Forest, Hard Summer"
Gordo,0.0005,2,"Electric Forest, Hard Summer"
Vampire Weekend,0.0005,2,"Bonnaroo, Outside Lands"
Claptone,0.0005,2,"Bonnaroo, Outside Lands"
Destroy Boys,0.0005,2,"Bonnaroo, Outside Lands"
Tyler The Creator,0.0004,2,"Lollapalooza, Outside Lands"
Finneas,0.0004,2,"Lollapalooza, Outside Lands"
Gracie Abrams,0.0004,2,"Lollapalooza, Outside Lands"
Bleachers,0.0004,2,"Lollapalooza, Outside Lands"
Mark Ambor,0.0004,2,"Lollapalooza, Outside Lands"
Doechii,0.0004,2,"Lollapalooza, Outside Lands"
Orla Gartland,0.0004,2,"Lollapalooza, Outside Lands"
Alemeda,0.0004,2,"Lollapalooza, Outside Lands"
Wunderhorse,0.0004,2,"Lollapalooza, Outside Lands"
Vincent Lima,0.0004,2,"Lollapalooza, Outside Lands"
Rebecca Black,0.0004,2,"Lollapalooza, Outside Lands"
Fujii Kaze,0.0004,2,"Lollapalooza, Outside Lands"
Klangkuenstler,0.0,1,Coachella
Hey,0.0,1,Bonnaroo
Korn,0.0,1,Lollapalooza
Kitchen Dwellers,0.0,1,Bonnaroo
Joe P,0.0,1,Lollapalooza
Insane Clown Posse,0.0,1,Bonnaroo
Ivan Cornejo,0.0,1,Coachella
Kneecap,0.0,1,Coachella
Judeline,0.0,1,Coachella
Lady Gaga,0.0,1,Coachella
Junior H,0.0,1,Coachella
Junior Varsity,0.0,1,Lollapalooza
Hanumankind,0.0,1,Coachella
KATSEYE,0.0,1,Lollapalooza
Isaiah Rashad,0.0,1,Lollapalooza
Laila!,0.0,1,Lollapalooza
